sender.country,sender.city,sender.state,sender.latitude,sender.longitude,receiver.country,receiver.city,receiver.state,receiver.latitude,receiver.longitude,date,number.of.items,percent.of.all.items
USA,Orange,NJ,33.787794,-117.853112,DEU,Ribnitz,Mecklenburg,54.252211,12.439749,1884-07-12,352,0.12974232142922962
USA,Cincinnati,OH,39.103118,-84.51202,DEU,Ribnitz,Mecklenburg,54.252211,12.439749,1862-12-24,308,0.11352453125057592
USA,Cincinnati,OH,39.103118,-84.51202,DEU,Ribnitz,Mecklenburg,54.252211,12.439749,1869-12-15,365,0.13453394125474094
USA,Cincinnati,OH,39.103118,-84.51202,DEU,Ribnitz,Mecklenburg,54.252211,12.439749,1862-12-24,542,0.1997736881097797
USA,Cincinnati,OH,39.103118,-84.51202,DEU,Ribnitz,Mecklenburg,54.252211,12.439749,1864-11-13,452,0.16660093547162438
USA,Cincinnati,OH,39.103118,-84.51202,DEU,Ribnitz,Mecklenburg,54.252211,12.439749,1869-12-15,512,0.18871610389706125
USA,Cincinnati,OH,39.103118,-84.51202,DEU,Ribnitz,Mecklenburg,54.252211,12.439749,1877-06-02,466,0.17176114143755966
USA,Cincinnati,OH,39.103118,-84.51202,DEU,Ribnitz,Mecklenburg,54.252211,12.439749,1860-08-06,416,0.15333183441636228
USA,Cincinnati,OH,39.103118,-84.51202,DEU,Ribnitz,Mecklenburg,54.252211,12.439749,1861-08-07,338,0.12458211546329435
USA,Cincinnati,OH,39.103118,-84.51202,DEU,Ribnitz,Mecklenburg,54.252211,12.439749,1864-01-17,333,0.12273918476117461
USA,Newport,KY,39.091449,-84.495776,DEU,Ribnitz,Mecklenburg,54.252211,12.439749,1864-12-24,509,0.18761034547578942
USA,Oskaloosa,IA,41.291673,-92.649359,DEU,Ribnitz,Mecklenburg,54.252211,12.439749,1865-09-13,563,0.2075139970586826
USA,Oskaloosa,IA,41.291673,-92.649359,DEU,Ribnitz,Mecklenburg,54.252211,12.439749,1865-10-13,452,0.16660093547162438
USA,Oskaloosa,IA,41.291673,-92.649359,DEU,Ribnitz,Mecklenburg,54.252211,12.439749,1866-10-24,268,0.09878108563361801
USA,Oskaloosa,IA,41.291673,-92.649359,DEU,Ribnitz,Mecklenburg,54.252211,12.439749,1867-06-04,531,0.19571924056511628
USA,Oskaloosa,IA,41.291673,-92.649359,DEU,Ribnitz,Mecklenburg,54.252211,12.439749,1867-08-14,350,0.1290051491483817
USA,Oskaloosa,IA,41.291673,-92.649359,DEU,Ribnitz,Mecklenburg,54.252211,12.439749,1868-05-10,436,0.16070355722484123
USA,Oskaloosa,IA,41.291673,-92.649359,DEU,Ribnitz,Mecklenburg,54.252211,12.439749,1869-07-01,352,0.12974232142922962
USA,Oskaloosa,IA,41.291673,-92.649359,DEU,Ribnitz,Mecklenburg,54.252211,12.439749,1869-10-25,451,0.16623234933120046
USA,Oskaloosa,IA,41.291673,-92.649359,DEU,Ribnitz,Mecklenburg,54.252211,12.439749,1871-07-20,286,0.10541563616124906
USA,Oskaloosa,IA,41.291673,-92.649359,DEU,Ribnitz,Mecklenburg,54.252211,12.439749,1876-09-24,527,0.1942448960034205
USA,Oskaloosa,IA,41.291673,-92.649359,DEU,Ribnitz,Mecklenburg,54.252211,12.439749,1877-04-16,384,0.14153707792279593
USA,Oskaloosa,IA,41.291673,-92.649359,DEU,Ribnitz,Mecklenburg,54.252211,12.439749,1877-09-03,343,0.12642504616541408
USA,Oskaloosa,IA,41.291673,-92.649359,DEU,Ribnitz,Mecklenburg,54.252211,12.439749,1878-06-19,350,0.1290051491483817
USA,Newport,KY,39.091449,-84.495776,DEU,Ribnitz,Mecklenburg,54.252211,12.439749,1864-12-23,379,0.13969414722067622
USA,Newport,KY,39.091449,-84.495776,DEU,Ribnitz,Mecklenburg,54.252211,12.439749,1865-01-19,429,0.1581234542418736
USA,Oskaloosa,IA,41.291673,-92.649359,DEU,Ribnitz,Mecklenburg,54.252211,12.439749,1866-11-01,381,0.1404313195015241
USA,Oskaloosa,IA,41.291673,-92.649359,DEU,Ribnitz,Mecklenburg,54.252211,12.439749,1867-06-07,410,0.15112031757381858
USA,Oskaloosa,IA,41.291673,-92.649359,DEU,Ribnitz,Mecklenburg,54.252211,12.439749,1867-07-15,408,0.1503831452929707
USA,Oskaloosa,IA,41.291673,-92.649359,DEU,Ribnitz,Mecklenburg,54.252211,12.439749,1868-05-10,481,0.1772899335439189
USA,Warsaw,IL,40.359211,-91.434598,DEU,Ribnitz,Mecklenburg,54.252211,12.439749,1870-06-12,428,0.15775486810144965
USA,Warsaw,IL,40.359211,-91.434598,DEU,Ribnitz,Mecklenburg,54.252211,12.439749,1871-05-31,379,0.13969414722067622
USA,Warsaw,IL,40.359211,-91.434598,DEU,Ribnitz,Mecklenburg,54.252211,12.439749,1871-06-17,536,0.19756217126723602
USA,Warsaw,IL,40.359211,-91.434598,DEU,Ribnitz,Mecklenburg,54.252211,12.439749,1872-10-20,346,0.12753080458668592
USA,Koekuk,IA?,40.404473,-91.396397,DEU,Ribnitz,Mecklenburg,54.252211,12.439749,1877-09-03,446,0.1643894186290807
USA,Koekuk,IA?,40.404473,-91.396397,DEU,Ribnitz,Mecklenburg,54.252211,12.439749,1878-06-19,368,0.13563969967601278
USA,Cincinnati,OH,39.103118,-84.51202,DEU,Ribnitz,Mecklenburg,54.252211,12.439749,1860-08-06,311,0.11463028967184775
USA,Cincinnati,OH,39.103118,-84.51202,DEU,Ribnitz,Mecklenburg,54.252211,12.439749,1861-08-07,370,0.13637687195686068
USA,Oskaloosa,IA,41.291673,-92.649359,DEU,Ribnitz,Mecklenburg,54.252211,12.439749,1862-12-24,585,0.21562289214800945
USA,Cincinnati,OH,39.103118,-84.51202,DEU,Ribnitz,Mecklenburg,54.252211,12.439749,1864-01-17,503,0.18539882863324572
USA,Oskaloosa,IA,41.291673,-92.649359,DEU,Ribnitz,Mecklenburg,54.252211,12.439749,1864-10-12,410,0.15112031757381858
