"","complnum","date","code1","offense_desc1","code2","offense_desc2","crimesuccess","crimelevel","jurisdic","loc_desc","premise_type","park","Latitude","Longitude","Lat_Lon","compl_year","compl_month","compl_day"
"1",486516670,"12/30/2017",341,"PETIT LARCENY",339,"LARCENY,PETIT FROM OPEN AREAS,","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT",NA,"STREET",NA,NA,NA,NA,"2017","12","07"
"2",226494646,"12/28/2017",361,"OFF. AGNST PUB ORD SENSBLTY &",639,"AGGRAVATED HARASSMENT 2","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT",NA,"RESIDENCE - APT. HOUSE",NA,40.719483607,-73.988663053,"(40.719483607, -73.988663053)","2017","12","10"
"3",675086835,"12/28/2017",341,"PETIT LARCENY",349,"LARCENY,PETIT OF LICENSE PLATE","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","INSIDE","RESIDENCE - APT. HOUSE",NA,40.707324468,-74.009602878,"(40.707324468, -74.009602878)","2017","12","10"
"4",342888952,"12/27/2017",578,"HARRASSMENT 2",637,"HARASSMENT,SUBD 1,CIVILIAN","COMPLETED","VIOLATION","N.Y. POLICE DEPT","INSIDE","RESTAURANT/DINER",NA,40.762268728,-73.987984345,"(40.762268728, -73.987984345)","2017","12","12"
"5",239954216,"12/27/2017",109,"GRAND LARCENY",433,"LARCENY,GRAND FROM STORE-SHOPL","COMPLETED","FELONY","N.Y. POLICE DEPT","INSIDE","GYM/FITNESS FACILITY",NA,40.764427367,-73.966587832,"(40.764427367, -73.966587832)","2017","12","12"
"6",384830423,"12/27/2017",109,"GRAND LARCENY",421,"LARCENY,GRAND FROM VEHICLE/MOTORCYCLE","COMPLETED","FELONY","N.Y. POLICE DEPT","INSIDE","PARKING LOT/GARAGE (PUBLIC)",NA,40.763245332,-73.960881208,"(40.763245332, -73.960881208)","2017","12","12"
"7",756564467,"12/23/2017",112,"THEFT-FRAUD",739,"FRAUD,UNCLASSIFIED-FELONY","COMPLETED","FELONY","N.Y. POLICE DEPT","INSIDE","RESIDENCE - APT. HOUSE",NA,40.748463142,-73.994331589,"(40.748463142, -73.994331589)","2017","12","12"
"8",299028771,"12/22/2017",112,"THEFT-FRAUD",739,"FRAUD,UNCLASSIFIED-FELONY","ATTEMPTED","FELONY","N.Y. POLICE DEPT","INSIDE","RESIDENCE - APT. HOUSE",NA,40.731164778,-73.984259135,"(40.731164778, -73.984259135)","2017","12","12"
"9",864982841,"12/22/2017",109,"GRAND LARCENY",438,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED","COMPLETED","FELONY","N.Y. HOUSING POLICE","INSIDE","RESIDENCE - PUBLIC HOUSING",NA,40.788077027,-73.947234248,"(40.788077027, -73.947234248)","2017","12","12"
"10",742677167,"12/22/2017",341,"PETIT LARCENY",338,"LARCENY,PETIT FROM BUILDING,UN","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","INSIDE","RESIDENCE - APT. HOUSE",NA,40.802960428,-73.965672707,"(40.802960428, -73.965672707)","2017","12","12"
