"","complnum","crimesuccess","HOUSING_PSA","JURISDICTION_CODE","jurisdic","code1","crimelevel","loc_desc","offense_desc1","park","PATROL_BORO","code2","offense_desc2","premise_type","date","STATION_NAME","SUSP_AGE_GROUP","SUSP_RACE","SUSP_SEX","TRANSIT_DISTRICT","VIC_AGE_GROUP","VIC_RACE","VIC_SEX","Latitude","Longitude","Lat_Lon","compl_year","compl_month","compl_day"
"1",272753715,"COMPLETED",NA,0,"N.Y. POLICE DEPT",351,"MISDEMEANOR","FRONT OF","CRIMINAL MISCHIEF & RELATED OF",NA,"PATROL BORO MAN NORTH",258,"CRIMINAL MISCHIEF 4TH, GRAFFIT","DEPARTMENT STORE","06/29/2018",NA,"UNKNOWN","UNKNOWN","U",NA,"UNKNOWN","UNKNOWN","D",40.828097057,-73.945522284,"(40.828097057, -73.945522284)","2018","06","06"
"2",533331288,"COMPLETED",NA,0,"N.Y. POLICE DEPT",351,"MISDEMEANOR","FRONT OF","CRIMINAL MISCHIEF & RELATED OF",NA,"PATROL BORO MAN NORTH",258,"CRIMINAL MISCHIEF 4TH, GRAFFIT","RESTAURANT/DINER","06/29/2018",NA,NA,NA,NA,NA,"UNKNOWN","UNKNOWN","D",40.821752222,-73.954003697,"(40.821752222, -73.954003697)","2018","06","06"
"3",499204377,"COMPLETED",NA,0,"N.Y. POLICE DEPT",109,"FELONY","INSIDE","GRAND LARCENY",NA,"PATROL BORO MAN SOUTH",403,"LARCENY,GRAND BY BANK ACCT COMPROMISE-REPRODUCED CHECK","SMALL MERCHANT","06/29/2018",NA,NA,NA,NA,NA,"UNKNOWN","UNKNOWN","D",40.750411107,-73.985236286,"(40.750411107, -73.985236286)","2018","06","06"
"4",790158915,"COMPLETED",NA,0,"N.Y. POLICE DEPT",109,"FELONY","INSIDE","GRAND LARCENY",NA,"PATROL BORO MAN SOUTH",425,"LARCENY,GRAND BY BANK ACCT COMPROMISE-ATM TRANSACTION","BANK","06/28/2018",NA,"UNKNOWN","UNKNOWN","U",NA,"25-44","BLACK","M",40.750167103,-73.971958209,"(40.750167103, -73.971958209)","2018","06","06"
"5",453803760,"COMPLETED",NA,0,"N.Y. POLICE DEPT",109,"FELONY","INSIDE","GRAND LARCENY",NA,"PATROL BORO MAN NORTH",432,"LARCENY,GRAND BY IDENTITY THEFT-UNCLASSIFIED","RESIDENCE-HOUSE","06/27/2018",NA,"UNKNOWN","UNKNOWN","U",NA,"65+","WHITE","M",40.871322452,-73.916380119,"(40.871322452, -73.916380119)","2018","06","06"
"6",577784159,"COMPLETED",NA,0,"N.Y. POLICE DEPT",109,"FELONY","INSIDE","GRAND LARCENY",NA,"PATROL BORO MAN SOUTH",438,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED",NA,"06/26/2018",NA,"45-64","WHITE","M",NA,"UNKNOWN","UNKNOWN","D",40.709141698,-74.006858254,"(40.709141698, -74.006858254)","2018","06","04"
"7",879150991,"COMPLETED",NA,0,"N.Y. POLICE DEPT",341,"MISDEMEANOR","INSIDE","PETIT LARCENY",NA,"PATROL BORO MAN NORTH",313,"LARCENY,PETIT BY FALSE PROMISE","RESIDENCE - APT. HOUSE","06/24/2018",NA,NA,NA,NA,NA,"65+","WHITE","F",40.782014587,-73.948737573,"(40.782014587, -73.948737573)","2018","06","06"
"8",309206736,"COMPLETED",NA,0,"N.Y. POLICE DEPT",341,"MISDEMEANOR","INSIDE","PETIT LARCENY",NA,"PATROL BORO MAN SOUTH",349,"LARCENY,PETIT OF LICENSE PLATE","COMMERCIAL BUILDING","06/20/2018",NA,NA,NA,NA,NA,"65+","WHITE","M",40.768077019,-73.993037491,"(40.768077019, -73.993037491)","2018","06","06"
"9",176637513,"COMPLETED",NA,0,"N.Y. POLICE DEPT",578,"VIOLATION","INSIDE","HARRASSMENT 2",NA,"PATROL BORO MAN NORTH",637,"HARASSMENT,SUBD 1,CIVILIAN","RESIDENCE - APT. HOUSE","06/19/2018",NA,"45-64","BLACK","M",NA,"25-44","BLACK","F",40.786123314,-73.942613564,"(40.786123314, -73.942613564)","2018","06","06"
"10",286705330,"COMPLETED",NA,0,"N.Y. POLICE DEPT",341,"MISDEMEANOR","OPPOSITE OF","PETIT LARCENY",NA,"PATROL BORO MAN SOUTH",343,"LARCENY,PETIT OF BICYCLE","STREET","06/18/2018",NA,NA,NA,NA,NA,"25-44","ASIAN/PAC.ISL","F",40.714666833,-73.992015003,"(40.714666833, -73.992015003)","2018","06","06"
