pres_name,year,date
George Washington,1790,"January 8, 1790"
George Washington,1790,"December 8, 1790"
George Washington,1791,"October 25, 1791"
George Washington,1792,"November 6, 1792"
George Washington,1793,"December 3, 1793"
George Washington,1794,"November 19, 1794"
George Washington,1795,"December 8, 1795"
George Washington,1796,"December 7, 1796"
John Adams,1797,"November 22, 1797"
John Adams,1798,"December 8, 1798"
John Adams,1799,"December 3, 1799"
John Adams,1800,"November 11, 1800"
Thomas Jefferson,1801,"December 8, 1801"
Thomas Jefferson,1802,"December 15, 1802"
Thomas Jefferson,1803,"October 17, 1803"
Thomas Jefferson,1804,"November 8, 1804"
Thomas Jefferson,1805,"December 3, 1805"
Thomas Jefferson,1806,"December 2, 1806"
Thomas Jefferson,1807,"October 27, 1807"
Thomas Jefferson,1808,"November 8, 1808"
James Madison,1809,"November 29, 1809"
James Madison,1810,"December 5, 1810"
James Madison,1811,"November 5, 1811"
James Madison,1812,"November 4, 1812"
James Madison,1813,"December 7, 1813"
James Madison,1814,"September 20, 1814"
James Madison,1815,"December 5, 1815"
James Madison,1816,"December 3, 1816"
James Monroe,1817,"December 12, 1817"
James Monroe,1818,"November 16, 1818"
James Monroe,1819,"December 7, 1819"
James Monroe,1820,"November 14, 1820"
James Monroe,1821,"December 3, 1821"
James Monroe,1822,"December 3, 1822"
James Monroe,1823,"December 2, 1823"
James Monroe,1824,"December 7, 1824"
John Quincy Adams,1825,"December 6, 1825"
John Quincy Adams,1826,"December 5, 1826"
John Quincy Adams,1827,"December 4, 1827"
John Quincy Adams,1828,"December 2, 1828"
Andrew Jackson,1829,"December 8, 1829"
Andrew Jackson,1830,"December 6, 1830"
Andrew Jackson,1831,"December 6, 1831"
Andrew Jackson,1832,"December 4, 1832"
Andrew Jackson,1833,"December 3, 1833"
Andrew Jackson,1834,"December 1, 1834"
Andrew Jackson,1835,"December 7, 1835"
Andrew Jackson,1836,"December 5, 1836"
Martin van Buren,1837,"December 5, 1837"
Martin van Buren,1838,"December 3, 1838"
Martin van Buren,1839,"December 2, 1839"
Martin van Buren,1840,"December 5, 1840"
John Tyler,1841,"December 7, 1841"
John Tyler,1842,"December 6, 1842"
John Tyler,1843,"December 6, 1843"
John Tyler,1844,"December 3, 1844"
James Polk,1845,"December 2, 1845"
James Polk,1846,"December 8, 1846"
James Polk,1847,"December 7, 1847"
James Polk,1848,"December 5, 1848"
Zachary Taylor,1849,"December 4, 1849"
Millard Fillmore,1850,"December 2, 1850"
Millard Fillmore,1851,"December 2, 1851"
Millard Fillmore,1852,"December 6, 1852"
Franklin Pierce,1853,"December 5, 1853"
Franklin Pierce,1854,"December 4, 1854"
Franklin Pierce,1855,"December 31, 1855"
Franklin Pierce,1856,"December 2, 1856"
James Buchanan,1857,"December 8, 1857"
James Buchanan,1858,"December 6, 1858"
James Buchanan,1859,"December 19, 1859"
James Buchanan,1860,"December 3, 1860"
Abraham Lincoln,1861,"December 3, 1861"
Abraham Lincoln,1862,"December 1, 1862"
Abraham Lincoln,1863,"December 8, 1863"
Abraham Lincoln,1864,"December 6, 1864"
Andrew Johnson,1865,"December 4, 1865"
Andrew Johnson,1866,"December 3, 1866"
Andrew Johnson,1867,"December 3, 1867"
Andrew Johnson,1868,"December 9, 1868"
Ulysses S. Grant,1869,"December 6, 1869"
Ulysses S. Grant,1870,"December 5, 1870"
Ulysses S. Grant,1871,"December 4, 1871"
Ulysses S. Grant,1872,"December 2, 1872"
Ulysses S. Grant,1873,"December 1, 1873"
Ulysses S. Grant,1874,"December 7, 1874"
Ulysses S. Grant,1875,"December 7, 1875"
Ulysses S. Grant,1876,"December 5, 1876"
Rutherford B. Hayes,1877,"December 3, 1877"
