twitter_account,name
@BarackObama,Barack Obama
@Pontifex,Pope Francis*
@NarendraModi,Narendra Modi
@RT_Erdogan,Recep Tayyip Erdoğan
@WhiteHouse,The White House
@PMOIndia,PMO India
@HHShkMohd,HH Sheikh Mohammed
@EPN,Enrique Peña Nieto
@JuanManSantos,Juan Manuel Santos
@CFKArgentina,Cristina Kirchner
@QueenRania,Rania Al Abdullah
@MedvedevRussia,Дмитрий Медведев
@dilmabr,Dilma Rousseff
@Number10gov,UK Prime Minister
@jokowi_do2,Joko Widodo
@Ahmet_Davutoglu,Ahmet Davutoğlu
@KingSalman,سلمان بن عبدالعزيز
@noynoyaquino,Noynoy Aquino
@SushmaSwaraj,Sushma Swaraj
@NajibRazak,Mohd Najib Tun Razak
@NicolasMaduro,Nicolás Maduro
@KremlinRussia,Президент России
@MashiRafael,Rafael Correa
@tcbestepe,T.C.Cumhurbaşkanlığı
@MatteoRenzi,Matteo Renzi
@ABZayed,عبدالله بن زايد
@PresidenciaMX,Presidencia México
@StateDept,Department of State
@Kantei_Saigai,首相官邸(災害 危機管理情報)
@Ollanta_HumalaT,Ollanta Humala Tasso
@PutinRF,Владимир Путин
@gobrep,Gobierno República
@BritishMonarchy,BritishMonarchy
@David_Cameron,David Cameron
@Presidencia_Ec,Presidencia Ecuador
@fhollande,François Hollande
@MedvedevRussiaE,Dmitry Medvedev
@TC_Disisleri,Dışişleri Bakanlığı
@PaulKagame,Paul Kagame
@Ukenyatta,Uhuru Kenyatta
@PMharper,Stephen Harper
@MarianoRajoy,Mariano Rajoy Brey
@RecepT_Erdogan,Recep Tayyip Erdogan
@GobiernodeChile,Gobierno de Chile
@Elysee,Élysée
@MBZNews,أخبار محمد بن زايد
@PresidencialVen,Prensa Presidencial
@MID_RF,МИД России
@Poroshenko,Петро Порошенко
@FranceDiplo,France Diplomatie
